"animal_name","hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","twolegs","fourlegs","sixlegs","eightlegs","mammal","bird","reptile","fish","amphibian","bug","invertebrate"
"aardvark","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"antelope","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"bass","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"bear","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"boar","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"buffalo","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"calf","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"carp","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","!a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"catfish","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"cavy","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","!has tail","is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"cheetah","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"chicken","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","!a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"chub","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
"clam","!has hair","!has feather","lays eggs","!produce milk","!can fly","!live in water","a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","!has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"crab","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"crayfish","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","!has teeth","!has backbone","!breath in the air","!poisonous","!has fins","has legs","!has tail","!is domestic","!is catsize","has legs","!has four legs","has six legs","!has eight legs","!mammal","!bird","!reptile","!fish","!amphibian","!bug","invertebrate"
"crow","!has hair","has feather","lays eggs","!produce milk","can fly","!live in water","a predator","!has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","!is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"deer","has hair","!has feather","!lays eggs","produce milk","!can fly","!live in water","!a predator","has teeth","has backbone","breath in the air","!poisonous","!has fins","has legs","has tail","!is domestic","is catsize","has legs","has four legs","!has six legs","!has eight legs","mammal","!bird","!reptile","!fish","!amphibian","!bug","!invertebrate"
"dogfish","!has hair","!has feather","lays eggs","!produce milk","!can fly","live in water","a predator","has teeth","has backbone","!breath in the air","!poisonous","has fins","!has legs","has tail","!is domestic","is catsize","has legs","!has four legs","!has six legs","!has eight legs","!mammal","!bird","!reptile","fish","!amphibian","!bug","!invertebrate"
