"","species","color_desc","Hue","Lightness","Saturation"
"1","(prob._Asclepiadaceae)","green",736,2.00864011610155,2.03218082457323
"2","(prob._Asclepiadaceae/Bignoniaceae)","brown",776,1.81443378626693,2.48769877476538
"4","Actaea_spicata","black",695,5.05177723742743,1.228
"5","Aechmea_nudicaulis","orange",580,6.49086009573905,1.57
"6","Ambelania_acida","green",700,1.24532585780942,3.48537257009077
"7","Amelanchier_ovalis","red",660,5.64932628886014,1.205
"8","Ananas_cf._nanus","yellow",756,2.71527404619153,1.97267587766471
"9","Anomospermum_chloranthum","green",674.666666666667,2.71302537843141,2.56398077114227
"10","Arbutus_unedo","red",660,6.71756282780761,5.887
"11","Arrabidea_mollis","green",756,2.11627760291202,2.41095076213176
"12","Arum_italicum","red",650,7.26940781413365,3.994
"13","Arum_maculatum","orange",660,6.48966075447383,4.671
"14","Asparagus_acutifolius","black",540,7.01974378093018,0.723
"15","Asparagus_albus","red",645,7.01678904000626,3.397
"16","Asparagus_aphyllus","green",545,6.58327090000625,0.667
"19","Astrocaryum_paramaca","brown",700,1.69149244119165,2.53230033670654
"20","Atropa_baetica","black",545,5.6944053128436,0.608
"21","Atropa_belladona","black",305,4.95723451736914,2.269
"22","Attalea_dubia","yellow",660,7.06215735577796,2.41
"23","Bactris_acanthocarpoides","white",752,3.10210040639508,1.69690992767916
"25","Bagassa_guianensis","green",652,1.36683754902274,3.04584589305174
"26","Balanites_wilsoniana","yellow",776,1.91439368183752,1.21608621776325
"27","Bellucia_grossularioides","yellow",632,2.96374935426343,1.83250658057339
"28","Berberis_vulgaris","red",315,7.20027562807417,0.766
"30","Bridelia_micrantha","black",760,1.97322301915048,1.93360277738199
"31","Brosimum_guianensis","green",700,2.2982222563143,2.25165219254488
"32","Bryonia_dioica","red",660,6.2302845778072,4.825
"33","Byrsonima_ligustrifolia","black",660,4.77727304258771,3.15
"34","Cabralea_canjerana","red",660,6.89115830807477,2.17
"35","Calophyllum_brasiliense","yellow",570,6.39781259864019,1.71
"37","Campomanesia_xanthocarpa","yellow",635,6.54559388338311,1.67
"38","Celtis_africana","yellow",776,2.41205141826799,2.17369188814918
